date,close,diff,start,high,low,volume,sumPos,sumNeg,MA_3,MA_7,MA_15,MA_30,EWM_3,EWM_7,EWM_15,EWM_30,PPO_3,PPO_7,PPO_15,PPO_30,RSI,CCI,macd
2020-08-25,77000,1500,76300,77700,75400,3473488,42.67078054144999,36.82984273899999,75666.66666666667,76014.28571428571,78700.0,80840.0,75997.71321308253,76424.77114376683,78097.49419230968,79700.52938167418,101.76211453744493,101.29674873144145,97.83989834815756,95.24987629886195,0.6321839080459769,82.94037852851885,-442.4785666407788
2020-08-26,78800,1800,78000,79100,77100,4741965,32.99398863723332,32.30637479229999,77100.0,75814.28571428571,78513.33333333333,80676.66666666667,77398.85660654253,77018.58432955801,78185.73005502012,79638.09697823327,102.20492866407263,103.93819483700773,100.36511845121849,97.67384208569186,0.551912568306011,34.2000919127469,-161.18208204355756
2020-08-27,79100,300,80200,80200,78800,4223450,29.611940499566675,41.63732445840001,78300.0,75957.14285714286,78406.66666666667,80546.66666666667,78249.42830327165,77538.94217193573,78300.4947910095,79600.97016085476,101.02171136653895,104.1376716193342,100.88427854774254,98.2039397450753,0.554945054945055,2.8176035198368874,55.28320987678262
2020-08-28,77800,-1300,79500,79600,77700,2511956,19.485275404700005,21.8944490738,78566.66666666667,76357.14285714286,78186.66666666667,80380.0,78024.71415163578,77604.20699814377,78237.70266893803,79477.26374504677,99.02418328383537,101.88961646398505,99.50545702592086,96.79024632993281,0.5736842105263158,22.434754417247536,121.30837419722093
2020-08-31,75100,-2700,78200,78800,75100,5113128,25.5226316587,32.1240605529,77333.33333333333,76828.57142857143,77820.0,80116.66666666667,76562.35707581772,76978.15259249572,77844.22724081093,79177.84427355301,97.11206896551725,97.75009297136481,96.5047545618093,93.73829831495735,0.6507177033492823,63.96895440177798,2.814816535624459
2020-09-01,75200,100,75200,76500,75200,2538676,20.149504902833343,22.456443041366665,76033.33333333333,76928.57142857143,77406.66666666667,79856.66666666667,75881.17853790883,76533.61302986184,77512.76819035283,78906.80003583054,98.903989478299,97.75301764159701,97.14925501679441,94.168718954794,0.645933014354067,71.96065225820922,-52.36571828207866
2020-09-02,75500,300,75900,76400,74900,2369360,63.558221050299984,51.0542689545,75266.66666666667,76928.57142857143,77020.0,79616.66666666667,75690.58926895441,76275.20915572206,77260.55253371646,78675.5037159345,100.31000885739591,98.1429897864438,98.02648662685017,94.82939083106552,0.631578947368421,63.996150607482235,-52.467579651284495
2020-09-03,78700,3200,77700,79700,77200,7002529,26.044619153499987,24.5365052126,76466.66666666667,77171.42857142857,76866.66666666667,79500.0,77195.29463447722,76881.40795180017,77440.8710911845,78677.16123449814,102.92066259808195,101.98074787115883,102.38508239375541,98.9937106918239,0.542016806722689,-9.856175972927117,162.19405917371228
2020-09-04,78700,0,76400,79400,76100,4582566,32.89951219272,35.80615949149998,77633.33333333333,77157.14285714286,76733.33333333333,79320.0,77947.64731723862,77336.05657416683,77598.55880834551,78678.7017491235,101.37398024903392,101.99962969820405,102.56298870547351,99.21835602622289,0.5321888412017167,-2.110052421615234,301.0206971270595
2020-09-07,78400,-300,78600,79500,77600,2786930,21.263158242033334,25.05078279283333,78600.0,77057.14285714286,76613.33333333333,79160.0,78173.82365861931,77602.04269841836,77698.90410920615,78659.95785424813,99.74554707379136,101.74267704857249,102.33205708318832,99.03991915108641,0.49302325581395345,-17.32630034582737,365.6549104028436
