date,close,diff,start,high,low,volume,MA_3,MA_7,MA_15,MA_30,EWM_3,EWM_7,EWM_15,EWM_30,PPO_3,PPO_7,PPO_15,PPO_30,RSI,CCI,macd
2021-01-04,13900,400,13600,13950,13450,3627782,13483.333333333334,13307.142857142857,13813.333333333334,14545.0,13595.198385481117,13518.319900743225,13800.960504988732,14207.367792474432,103.09023485784918,104.45517981749866,100.62741312741312,95.56548642145067,0.5760869565217391,19.653569176163526,-8.12525446943556
2021-01-05,14700,800,14050,15000,13900,7228208,14033.333333333334,13492.857142857143,13820.0,14546.666666666666,14147.599192741061,13813.742896503934,13913.881315869845,14241.521273031656,104.75059382422802,108.94653255690841,106.36758321273516,101.05407882676445,0.5047619047619047,-38.34064668720634,83.0103250426688
2021-01-06,14150,-550,14800,14900,14100,4183844,14250.0,13642.857142857143,13780.0,14525.0,14148.79959637053,13897.807806432395,13943.52037225046,14235.206623948789,99.29824561403508,103.717277486911,102.68505079825833,97.41824440619621,0.5229357798165137,-30.874385262982454,105.78896636625876
2021-01-07,14150,0,14550,14600,14050,3295124,14333.333333333334,13757.142857142857,13763.333333333334,14486.666666666666,14149.399798185266,13960.856211478353,13969.425325156702,14229.353886196153,98.72093023255813,102.85565939771548,102.80939694841365,97.67602393005063,0.5140186915887851,-24.319207805446386,118.04119135685175
2021-01-08,14200,50,14400,14450,14000,4418318,14166.666666666666,13950.0,13756.666666666666,14450.0,14174.699899092637,14020.642412259007,13998.33994150878,14227.345982262768,100.23529411764707,101.7921146953405,103.22267991276956,98.26989619377161,0.46464646464646464,-23.415326395458845,125.87001468635123
2021-01-11,13450,-750,14150,14150,13200,6981930,13933.333333333334,14007.142857142857,13730.0,14385.0,13812.349949546298,13877.981355251564,13929.604458591279,14174.378813434703,96.5311004784689,96.0224375318715,97.96067006554989,93.5001737921446,0.5865384615384616,31.578083989501373,80.7804381690546
2021-01-12,13250,-200,13250,13450,12900,3281855,13633.333333333334,13971.42857142857,13656.666666666666,14291.666666666666,13531.17497477314,13720.985641772359,13844.44468430721,14111.620384560492,97.1882640586797,94.83640081799591,97.02221137417622,92.71137026239067,0.5656565656565656,65.46876299808673,38.69885051384614
2021-01-13,13300,50,13400,13650,13100,2665001,13333.333333333334,13885.714285714286,13616.666666666666,14165.0,13415.587487386569,13615.739042953,13776.24248700932,14056.70283664012,99.75,95.78189300411523,97.67441860465117,93.89339922343805,0.56,44.16456759026033,16.120964226626143
2021-01-14,13900,600,13300,14400,13100,7981165,13483.333333333334,13771.42857142857,13616.666666666666,14070.0,13657.793743693286,13686.804377612292,13791.741328762848,14046.132956597348,103.09023485784918,100.93360995850622,102.08078335373318,98.79175550817342,0.45098039215686275,-4.811869277551293,41.14187156529874
2021-01-15,13550,-350,14000,14200,13400,3230145,13583.333333333334,13685.714285714286,13626.666666666666,14005.0,13603.896871846644,13652.603248775726,13761.473847358402,14012.765875077734,99.75460122699386,99.00835073068893,99.43737769080235,96.75116029989289,0.45631067961165045,0.4726791453962425,35.415964063817796
