,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
449,2020/01/16,32300,300,0.94,32000,33050,32000,276622,8975349000,847358846000,26234020
448,2020/01/17,31050,-1250,-3.87,32200,32600,30550,462090,14394659000,814566321000,26234020
447,2020/01/20,31400,350,1.13,31400,32000,31150,292142,9217928850,823748228000,26234020
446,2020/01/21,31450,50,0.16,31400,32100,31350,215785,6820026750,825059929000,26234020
445,2020/01/22,33200,1750,5.56,31750,33300,31650,385406,12541770400,870969464000,26234020
444,2020/01/23,32750,-450,-1.36,33500,33550,32400,305124,9994908850,859164155000,26234020
443,2020/01/28,33700,950,2.9,31750,39800,31700,3370916,119873211400,884086474000,26234020
442,2020/01/29,32550,-1150,-3.41,34150,34300,32300,715174,23677229700,853917351000,26234020
441,2020/01/30,32450,-100,-0.31,34300,34400,32050,1170589,38776308500,851293949000,26234020
440,2020/01/31,30100,-2350,-7.24,32050,32700,29700,714953,22205476700,789644002000,26234020
439,2020/02/03,30100,0,0.0,29200,30700,29100,419954,12613511450,789644002000,26234020
438,2020/02/04,31650,1550,5.15,30150,31750,30150,354215,11035807300,830306733000,26234020
437,2020/02/05,31550,-100,-0.32,32050,32250,31200,331489,10503319200,827683331000,26234020
436,2020/02/06,32100,550,1.74,31850,32450,31700,233708,7490889450,842112042000,26234020
435,2020/02/07,32300,200,0.62,32300,32950,31750,259717,8425121500,847358846000,26234020
434,2020/02/10,32250,-50,-0.15,32500,33150,31650,252582,8221943900,846047145000,26234020
433,2020/02/11,32200,-50,-0.16,32200,32850,31950,213633,6890363350,844735444000,26234020
432,2020/02/12,33050,850,2.64,32300,35500,32050,1458422,48936688750,867034361000,26234020
431,2020/02/13,31450,-1600,-4.84,33300,33450,31200,657300,21021881500,825059929000,26234020
430,2020/02/14,31150,-300,-0.95,31450,32000,31150,231147,7268599750,817189723000,26234020
429,2020/02/17,30650,-500,-1.61,31200,31600,30650,214285,6632246200,804072713000,26234020
428,2020/02/18,35550,4900,15.99,32000,38800,31950,11771657,427571288400,932619411000,26234020
427,2020/02/19,34900,-650,-1.83,34550,38700,34050,6505194,235768439400,915567298000,26234020
426,2020/02/20,33750,-1150,-3.3,35800,37300,33500,3717553,131668997400,885398175000,26234020
425,2020/02/21,32400,-1350,-4.0,34700,35150,31900,1812891,60089858650,849982248000,26234020
424,2020/02/24,33250,850,2.62,35350,37400,32550,3225488,111133017350,872281165000,26234020
423,2020/02/25,33250,0,0.0,32700,34350,32000,1349865,44663154350,872281165000,26234020
422,2020/02/26,33650,400,1.2,34600,35000,33300,1908712,64972286450,882774773000,26234020
421,2020/02/27,34200,550,1.63,37400,37800,33850,5250083,188353196200,897203484000,26234020
420,2020/02/28,36500,2300,6.73,35050,37000,34250,4672937,167075478550,957541730000,26234020
419,2020/03/02,40400,3900,10.68,38050,41850,36400,11744681,469140777050,1059854408000,26234020
418,2020/03/03,40800,400,0.99,40400,41650,39200,5258648,212813037900,1070348016000,26234020
417,2020/03/04,37450,-3350,-8.21,41000,41250,37450,3362309,131421049700,982464049000,26234020
416,2020/03/05,37200,-250,-0.67,37000,39150,36800,3384339,128920999000,975905544000,26234020
415,2020/03/06,48350,11150,29.97,43400,48350,42550,14746216,674505327650,1268414867000,26234020
414,2020/03/09,62800,14450,29.89,55600,62800,54500,11847286,711628430600,1647496456000,26234020
413,2020/03/10,54700,-8100,-12.9,58000,69800,52800,21429726,1319065534300,1435000894000,26234020
