,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
223,2020/06/24,86000,1900,2.26,84200,87400,84000,4079834,351579333300,62608203390000,728002365
222,2020/06/25,84300,-1700,-1.98,84300,85600,84000,3397112,287640892200,61370599369500,728002365
221,2020/06/26,84600,300,0.36,86000,86100,84500,2889494,246139912200,61589000079000,728002365
220,2020/06/29,83600,-1000,-1.18,84000,85300,83500,2932433,246769859800,60860997714000,728002365
219,2020/06/30,85100,1500,1.79,86200,87300,85000,4983607,430210457400,61953001261500,728002365
218,2020/07/01,85300,200,0.24,86800,87300,84900,2382552,204996625700,62098601734500,728002365
217,2020/07/02,84400,-900,-1.06,84800,85200,84000,3295340,278230270900,61443399606000,728002365
216,2020/07/03,85400,1000,1.18,85000,85600,84500,2195897,186505562700,62171401971000,728002365
215,2020/07/06,86000,600,0.7,86000,87000,85800,2561766,221380002600,62608203390000,728002365
214,2020/07/07,84800,-1200,-1.4,87300,87300,84600,3196352,273456680600,61734600552000,728002365
213,2020/07/08,83700,-1100,-1.3,83800,84900,83600,3523620,295860393700,60933797950500,728002365
212,2020/07/09,83000,-700,-0.84,84200,84600,83000,4002365,333613553000,60424196295000,728002365
211,2020/07/10,82800,-200,-0.24,83300,83500,82400,2201557,182243451800,60278595822000,728002365
210,2020/07/13,83000,200,0.24,83100,83500,82500,2080934,172499797800,60424196295000,728002365
209,2020/07/14,82900,-100,-0.12,82600,82900,82000,2048671,168607198500,60351396058500,728002365
208,2020/07/15,83000,100,0.12,83100,83900,82900,3024429,251923987700,60424196295000,728002365
207,2020/07/16,82700,-300,-0.36,83000,83100,82300,2312310,191183881500,60205795585500,728002365
206,2020/07/17,82900,200,0.24,82700,83500,82600,1579078,131040661300,60351396058500,728002365
205,2020/07/20,82200,-700,-0.84,82800,83000,82100,2008624,165380599100,59841794403000,728002365
204,2020/07/21,84100,1900,2.31,83400,84700,83000,4181015,351360291700,61224998896500,728002365
203,2020/07/22,83200,-900,-1.07,84100,84200,82900,2876295,239611385215,60569796768000,728002365
202,2020/07/23,82400,-800,-0.96,84000,84000,82300,3591647,297728783200,59987394876000,728002365
201,2020/07/24,83700,1300,1.58,82300,83700,82200,3667416,304393422600,60933797950500,728002365
200,2020/07/27,82800,-900,-1.08,83100,84000,82800,2784652,231629150440,60278595822000,728002365
199,2020/07/28,83100,300,0.36,83900,83900,82700,4538720,378147743500,60496996531500,728002365
198,2020/07/29,83200,100,0.12,82900,83800,82600,3719681,309547939100,60569796768000,728002365
197,2020/07/30,85300,2100,2.52,83300,86400,83000,6870841,581215886250,62098601734500,728002365
196,2020/07/31,82800,-2500,-2.93,85700,86000,82800,4848989,405626780500,60278595822000,728002365
195,2020/08/03,81800,-1000,-1.21,82400,82600,81500,3483106,285292645200,59550593457000,728002365
194,2020/08/04,81600,-200,-0.24,81800,82500,81400,3005937,245898247600,59404992984000,728002365
193,2020/08/05,80700,-900,-1.1,81200,81300,80500,4537005,366305427151,58749790855500,728002365
192,2020/08/06,81100,400,0.5,80700,81900,80700,3391939,275352872316,59040991801500,728002365
191,2020/08/07,80600,-500,-0.62,81200,81300,80000,4946631,397344111700,58676990619000,728002365
190,2020/08/10,81400,800,0.99,80100,81900,79800,3277238,265033012100,59259392511000,728002365
189,2020/08/11,81300,-100,-0.12,81700,82000,81000,3234013,263787032800,59186592274500,728002365
188,2020/08/12,81000,-300,-0.37,81100,81300,80200,3595828,289641970965,58968191565000,728002365
187,2020/08/13,80700,-300,-0.37,81900,82000,80300,4049387,328483224600,58749790855500,728002365
186,2020/08/14,80200,-500,-0.62,80200,81100,80100,2589552,207896270700,58385789673000,728002365
185,2020/08/18,78100,-2100,-2.62,80000,80200,78000,4946279,391556333215,56856984706500,728002365
184,2020/08/19,75000,-3100,-3.97,77300,78000,75000,8028305,609790999800,54600177375000,728002365
183,2020/08/20,71800,-3200,-4.27,74400,74400,71300,7260223,525176256700,52270569807000,728002365
182,2020/08/21,74500,2700,3.76,72800,77000,72500,7700029,573840629600,54236176192500,728002365
181,2020/08/24,75500,1000,1.34,74600,77200,73700,4298619,326758783800,54964178557500,728002365
180,2020/08/25,77000,1500,1.99,76300,77700,75400,3473488,266311133590,56056182105000,728002365
179,2020/08/26,78800,1800,2.34,78000,79100,77100,4741965,371645530948,57366586362000,728002365
