dates,등락률,result
2021-11-05,0.47,0.0
2021-11-08,0.0,0.0
2021-11-09,-0.93,0.0
2021-11-10,-2.11,-1.0
2021-11-11,-1.68,-1.0
2021-11-12,1.46,1.0
2021-11-15,0.48,0.0
2021-11-16,-1.2,-1.0
2021-11-17,0.24,0.0
2021-11-18,-0.97,0.0
2021-11-19,2.2,1.0
