dates,등락률,result
2020-11-11,-7.86,-1.0
2020-11-12,-2.21,0.0
2020-11-13,-0.31,0.0
2020-11-16,2.93,0.0
2020-11-17,-10.41,-1.0
2020-11-18,0.0,0.0
2020-11-19,0.29,0.0
2020-11-20,1.15,0.0
2020-11-23,0.76,0.0
2020-11-24,-12.54,-1.0
2020-11-25,-4.26,-1.0
2020-11-26,2.03,0.0
2020-11-27,5.68,1.0
2020-11-30,-1.88,0.0
2020-12-01,1.92,0.0
2020-12-02,-1.83,0.0
2020-12-03,1.76,0.0
2020-12-04,5.38,1.0
2020-12-07,3.82,0.0
2020-12-08,-1.34,0.0
2020-12-09,-5.81,-1.0
2020-12-10,1.18,0.0
2020-12-11,2.9,0.0
2020-12-14,6.91,1.0
2020-12-15,-0.23,0.0
2020-12-16,-2.64,0.0
2020-12-17,1.05,0.0
2020-12-18,-1.6,0.0
2020-12-21,-3.06,0.0
2020-12-22,-4.0,-1.0
2020-12-23,-4.11,-1.0
2020-12-24,0.59,0.0
2020-12-28,-5.81,-1.0
2020-12-29,12.73,1.0
2020-12-30,-3.16,0.0
2021-01-04,-4.77,-1.0
2021-01-05,0.11,0.0
2021-01-06,0.87,0.0
2021-01-07,2.37,0.0
2021-01-08,-1.79,0.0
2021-01-11,-3.7,-1.0
2021-01-12,0.5,0.0
2021-01-13,1.5,0.0
2021-01-14,2.51,0.0
2021-01-15,-4.26,-1.0
2021-01-18,-4.67,-1.0
2021-01-19,-3.79,-1.0
2021-01-20,5.58,1.0
2021-01-21,-3.73,-1.0
2021-01-22,2.21,0.0
2021-01-25,2.39,0.0
2021-01-26,-0.17,0.0
2021-01-27,-2.85,0.0
2021-01-28,-0.71,0.0
2021-01-29,-2.37,0.0
2021-02-01,8.91,1.0
2021-02-02,-3.9,-1.0
2021-02-03,1.91,0.0
2021-02-04,-0.8,0.0
2021-02-05,2.35,0.0
2021-02-08,0.78,0.0
2021-02-09,-2.78,0.0
2021-02-10,0.74,0.0
2021-02-15,-1.25,0.0
2021-02-16,-2.53,0.0
2021-02-17,1.12,0.0
2021-02-18,5.88,1.0
2021-02-19,-6.77,-1.0
2021-02-22,-9.2,-1.0
2021-02-23,-15.01,-1.0
2021-02-24,-4.05,-1.0
2021-02-25,-0.96,0.0
2021-02-26,0.16,0.0
2021-03-02,2.89,0.0
2021-03-03,0.23,0.0
2021-03-04,-1.56,0.0
2021-03-05,-2.77,0.0
2021-03-08,0.49,0.0
2021-03-09,4.86,1.0
2021-03-10,2.86,0.0
2021-03-11,-3.08,0.0
2021-03-12,0.85,0.0
2021-03-15,-0.08,0.0
2021-03-16,0.69,0.0
2021-03-17,2.82,0.0
2021-03-18,-0.07,0.0
2021-03-19,-1.41,0.0
