dates,등락률,result
2021-08-25,-0.18,0.0
2021-08-26,0.89,0.0
2021-08-27,3.51,1.0
2021-08-30,-1.19,0.0
2021-08-31,0.69,0.0
2021-09-01,-0.85,0.0
2021-09-02,-0.86,0.0
2021-09-03,-1.74,0.0
2021-09-06,-1.59,0.0
2021-09-07,0.36,0.0
2021-09-08,-2.15,-1.0
2021-09-09,-1.65,0.0
2021-09-10,-0.56,0.0
2021-09-13,-2.06,0.0
2021-09-14,0.38,0.0
2021-09-15,3.61,1.0
2021-09-16,-2.02,0.0
2021-09-17,3.18,1.0
2021-09-23,3.27,1.0
2021-09-24,-3.51,-1.0
2021-09-27,-2.55,-1.0
2021-09-28,-1.5,0.0
2021-09-29,-0.95,0.0
2021-09-30,-0.57,0.0
2021-10-01,-4.43,-1.0
2021-10-05,-12.1,-1.0
2021-10-06,-2.75,-1.0
2021-10-07,0.47,0.0
2021-10-08,5.16,1.0
2021-10-12,-4.24,-1.0
2021-10-13,0.47,0.0
2021-10-14,3.02,1.0
2021-10-15,-0.9,0.0
2021-10-18,-1.59,0.0
2021-10-19,0.69,0.0
2021-10-20,0.46,0.0
2021-10-21,-0.68,0.0
2021-10-22,0.92,0.0
2021-10-25,-1.37,0.0
2021-10-26,2.77,1.0
2021-10-27,-1.57,0.0
2021-10-28,-1.6,0.0
2021-10-29,-6.96,-1.0
